id,"prefecture","created_at","updated_at"
130,"島根県","2019-05-30 16:34:15","2019-05-30 16:34:15"
131,"岡山県","2019-05-30 16:34:15","2019-05-30 16:34:15"
132,"広島県","2019-05-30 16:34:15","2019-05-30 16:34:15"
133,"山口県","2019-05-30 16:34:15","2019-05-30 16:34:15"
134,"徳島県","2019-05-30 16:34:15","2019-05-30 16:34:15"
135,"香川県","2019-05-30 16:34:15","2019-05-30 16:34:15"
136,"愛媛県","2019-05-30 16:34:15","2019-05-30 16:34:15"
137,"高知県","2019-05-30 16:34:15","2019-05-30 16:34:15"
138,"福岡県","2019-05-30 16:34:15","2019-05-30 16:34:15"
139,"佐賀県","2019-05-30 16:34:15","2019-05-30 16:34:15"
140,"長崎県","2019-05-30 16:34:15","2019-05-30 16:34:15"
141,"熊本県","2019-05-30 16:34:15","2019-05-30 16:34:15"
142,"大分県","2019-05-30 16:34:15","2019-05-30 16:34:15"
143,"宮崎県","2019-05-30 16:34:15","2019-05-30 16:34:15"
144,"鹿児島県","2019-05-30 16:34:15","2019-05-30 16:34:15"
145,"沖縄県","2019-05-30 16:34:15","2019-05-30 16:34:15"
